編號,名稱,地區,類型,地區/大樓,地址,緯度,經度,營業時間,評分,每人價位,GoogleMaps連結,核實日期
41,Re-Public by Base Island Kitchen,大阪,蔬食友善｜日式 × 牙買加無麩質 Tapas,北堀江・西區（獨立小店・四橋站 2 分）,大阪市西区北堀江 1-16-27,34.67403,135.49525,週三四 11:00-18:00／週五 11:00-20:00／週六日 12:00-18:00；週一二公休,4.6 ★（約 68 則）,"約 ¥900–1,500／人","https://www.google.com/maps/search/?api=1&query=34.67403,135.49525",2026-06-30
42,Shama Vegetarian Indian（北堀江）,大阪,蔬食友善｜印度素食,北堀江・西區（倉商ビル B1F・四橋站 6 號出口）,大阪市西区北堀江 1-3-7 倉商ビル B1F,34.67273,135.49644,週二-日 11:00-15:00 / 17:00-22:00；週一僅 11:00-15:00,Tabelog 3.20／TripAdvisor 4.5,"午 ¥650–970／晚套餐 ¥1,800 起","https://www.google.com/maps/search/?api=1&query=34.67273,135.49644",2026-06-30
43,Smile Kitchen（立売堀）,大阪,蔬食友善｜印度・尼泊爾料理,立売堀・西區（大樓 2F・本町站 22-23 出口）,大阪市西区立売堀 1-6-2 2F,34.68022,135.49670,週一-六 11:00-15:00 / 17:00-23:00；週日公休,Tabelog 3.09／TripAdvisor 4.1,"約 ¥1,000–2,000／人","https://www.google.com/maps/search/?api=1&query=34.68022,135.49670",2026-06-30
44,Hana no Ki 花の木（黑門市場）,大阪,蔬食友善｜大阪鐵板燒（大阪燒/炒麵）,日本橋・中央區（黑門市場內）,大阪市中央区日本橋 1-21-33,34.66624,135.50685,週一-六 10:30-18:00；週日及國定假日公休,3.9 ★（97 則）,"約 ¥1,000–2,000／人","https://www.google.com/maps/search/?api=1&query=34.66624,135.50685",2026-06-30
45,Cosme Kitchen Adaptation 阪神梅田,大阪,蔬食友善｜自然系咖啡餐廳,梅田・北區（阪神百貨梅田本店 3F）,大阪市北区梅田 1-13-13 阪神百貨店梅田本店 3F,34.70116,135.49861,每日 10:00-20:00（LO 19:30），公休依百貨,Tabelog 3.48／Yahoo 4.04,"約 ¥2,000–3,000／人","https://www.google.com/maps/search/?api=1&query=34.70116,135.49861",2026-06-30
46,natural kitchen めだか 2号店,大阪,蔬食友善｜玄米自然食・マクロビ,兎我野町・北區（雁木ビル 1F・東梅田/お初天神）,大阪市北区兎我野町 3-20 雁木ビル 1F,34.70103,135.50564,平日 11:00-20:30；週末假日 11:00-20:00（不定休）,LINE PLACE 4.2,"午約 ¥1,000–1,500／人","https://www.google.com/maps/search/?api=1&query=34.70103,135.50564",2026-06-30
47,Mealthy メルシー（福島）,大阪,蔬食友善｜健康定食・拼盤,福島・福島區（アイミーハウス 1F・福島站）,大阪市福島区福島 6-8-21 アイミーハウス 1F,34.69944,135.48813,平日 11:00-14:30 / 17:00-20:00；週末假日原則公休（每月 1-2 次特別營業，依 IG）,Tabelog 3.26（42 則）,"約 ¥1,000–2,000／人（定食約 ¥1,300）","https://www.google.com/maps/search/?api=1&query=34.69944,135.48813",2026-06-30
48,bee9 cafe & studio,大阪,純素 Vegan｜咖啡 & studio,松ケ枝町・北區（グロウビル 1F・南森町/天滿宮）,大阪市北区松ケ枝町 6-1 グロウビル 1F,34.69840,135.51547,週二-四 11:00-17:00；週五六 11:00-17:00 / 18:00-23:00（Bar）；週一日公休,Tabelog 3.12（26 則）,"約 ¥1,000–2,000／人（Buddha Bowl 約 ¥1,800）","https://www.google.com/maps/search/?api=1&query=34.69840,135.51547",2026-06-30
49,Canelita Sweets（南堀江）,大阪,純素 Vegan｜甜點（甜甜圈/蛋糕）,南堀江・西區（獨立店面・近美國村/四橋）,大阪市西区南堀江 1-14-22,34.67179,135.49440,11:00-19:00（售完為止）；週一公休,Tabelog 3.30／HappyCow 4.5,"人均 ¥800–1,500（甜點 ¥380–500）","https://www.google.com/maps/search/?api=1&query=34.67179,135.49440",2026-06-30
50,Sari Sari Store（by Cocowell）,大阪,純素 Vegan｜椰子冰淇淋・咖啡,幸町・浪速區（ココウェル本社 1F・近桜川站）,大阪市浪速区幸町 2-2-2 ココウェル本社 1F,34.66901,135.49175,9:00-19:00（LO 18:30）；週三公休,HappyCow 4.0（12 則）,約 ¥600–900／人,"https://www.google.com/maps/search/?api=1&query=34.66901,135.49175",2026-06-30
51,素食 江南（日本橋）,大阪,蔬食友善｜中華料理,日本橋・中央區（日本橋ビル38番街 2F）,大阪市中央区日本橋 1-3-7 日本橋ビル38番街 2F,34.66740,135.50585,11:30-15:00 / 17:30-22:30，年中無休,HappyCow 4.0（18 則）,"午 ¥1,000–1,500／晚 ¥2,000–3,000／人","https://www.google.com/maps/search/?api=1&query=34.66740,135.50585",2026-06-30
52,OKO – Fun Okonomiyaki Bar,大阪,純素 Vegan・無麩質｜大阪燒居酒屋,難波・西心齋橋・中央區（獨立店面）,大阪市中央区西心斎橋（近難波）,34.66878,135.49815,18:00-24:00（售完為止）；公休查 IG,HappyCow 4.0（334 則）,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=34.66878,135.49815",2026-07-03
53,Matsuri 松（three-peace）,大阪,蔬食友善｜純素大阪燒・鐵板,福島區・吉野（獨立店面）,大阪市福島区吉野 3-27-17,34.69280,135.47440,週一二・週五六日 11:00-14:00 / 17:00-21:00；週三四公休,HappyCow 3.5（44 則）,"約 ¥2,000–2,700／人","https://www.google.com/maps/search/?api=1&query=34.69280,135.47440",2026-07-03
54,Avocados Mexican Cafe,大阪,蔬食友善｜墨西哥料理,中央區・上町（マルソウアパレル 1F・谷町六丁目）,大阪市中央区上町 1-1-22,34.67810,135.52559,週一四日 10:30-17:00；週二三五六 10:30-21:00,HappyCow 4.0（6 則）,"約 ¥1,200–2,000／人","https://www.google.com/maps/search/?api=1&query=34.67810,135.52559",2026-07-03
55,Greens Vegetarian Dishes,大阪,蔬食｜日式自助餐 buffet,港區・築港（近大阪港站/海遊館・獨立店面）,大阪市港区築港 3-10-7,34.65644,135.43191,週一-五 12:00-14:00（僅午餐）；國定假日公休,HappyCow 4.5（26 則）,"¥850–1,100／人（吃到飽）","https://www.google.com/maps/search/?api=1&query=34.65644,135.43191",2026-07-03
56,Gyozaoh! 餃子王 道頓堀本店,大阪,蔬食友善｜餃子居酒屋,道頓堀・中央區（難波站步行 3 分）,大阪市中央区道頓堀 1-9-9,34.66860,135.50150,每日 17:00-23:00,Tabelog 登錄（查無 Google）,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=34.66860,135.50150",2026-07-03
57,Nanahako 七箱（純素甜點）,大阪,純素 Vegan・長壽飲食｜甜點,中央區・大手通（Musubi Garden 自然食品店內・谷町四丁目）,大阪市中央区大手通 2-2-7,34.68450,135.51700,週一-六 10:00-19:00；週日 10:00-18:00,專文推薦（查無 Google）,約 ¥400–800／件,"https://www.google.com/maps/search/?api=1&query=34.68450,135.51700",2026-07-03
58,Mauloa Acai and Cafe,大阪,蔬食友善｜巴西莓 açaí 咖啡,北區・大淀南（梅田 Sky Building 旁・獨立店面）,大阪市北区大淀南 1-3-19,34.70520,135.49050,週二-日 11:30-19:00（採預約制）；週一公休,HappyCow/Tabelog（查無 Google）,"約 ¥1,000–1,600／人","https://www.google.com/maps/search/?api=1&query=34.70520,135.49050",2026-07-03
59,VeganCafe sister,大阪,純素 Vegan｜甜點咖啡,中央區・博労町（浪速ビル 102・近本町/堺筋本町）,大阪市中央区博労町 1-5-15 浪速ビル 102,34.68050,135.50600,營業時間不定（每月更換甜點，請查 FB/IG）,專文推薦（查無 Google）,約 ¥500–900／件,"https://www.google.com/maps/search/?api=1&query=34.68050,135.50600",2026-07-03
60,Coconut Glen's 北浜,大阪,純素 Vegan｜夏威夷椰子冰淇淋,中央區・安土町（北浜/堺筋本町・獨立店面）,大阪市中央区安土町 1-4-5,34.68520,135.50400,請查官網/IG（建議先確認）,Vegewel 推薦（查無 Google）,約 ¥600–900／份,"https://www.google.com/maps/search/?api=1&query=34.68520,135.50400",2026-07-03
61,天龍寺 篩月 Shigetsu,京都,精進料理｜全素 Vegan,嵐山・右京區（天龍寺境內・世界遺產）,京都市右京区嵯峨天龍寺芒ノ馬場町 68,35.01560,135.67350,11:00-14:00（LO）；另付庭園入園料 ¥500,米其林 2026 Bib＋綠星,"約 ¥3,300–8,000／人（雪3300/月5500/花8000）","https://www.google.com/maps/search/?api=1&query=35.01560,135.67350",2026-07-03
62,泉仙 大慈院店 Izusen,京都,精進料理（鐵鉢料理）｜全素 Vegan,紫野・北區（大德寺 大慈院內）,京都市北区紫野大徳寺町 4 大慈院内,35.04380,135.74560,11:00-16:00（LO）,精進料理名店（Tabelog）,"約 ¥3,800–6,500／人","https://www.google.com/maps/search/?api=1&query=35.04380,135.74560",2026-07-03
63,精進料理 阿じろ 本店 Ajiro,京都,精進料理｜全素 Vegan,花園・右京區（妙心寺門前・獨立店面）,京都市右京区花園寺ノ中町 28,35.02350,135.72100,約 11:00-19:00（多為預約制）,昭和 37 年老店（Tabelog）,"約 ¥4,000–8,000／人","https://www.google.com/maps/search/?api=1&query=35.02350,135.72100",2026-07-03
64,松籟庵 Shoraian,京都,豆腐懷石｜蔬食友善,嵐山・右京區（渡月橋上游・獨立店面）,京都市右京区嵯峨亀ノ尾町官有地内,35.01000,135.67060,週一-四 11:00-17:00；週五-日假日 11:00-20:00；週三公休（紅葉季除外）,嵐山豆腐懷石（官網）,"約 ¥4,000–10,000／人","https://www.google.com/maps/search/?api=1&query=35.01000,135.67060",2026-07-03
65,Choice,京都,純素 Vegan・無麩質｜咖啡・鬆餅,三條・東山區（三条京阪・鈴木形成外科ビル 1F）,京都市東山区大橋町 89-1 鈴木形成外科ビル 1F,35.00920,135.77340,9:30-21:00（LO 20:00）；週三公休,HappyCow 高評（查無 Google）,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=35.00920,135.77340",2026-07-03
66,mumokuteki cafe Kyoto,京都,純素 Vegan｜咖啡・定食,寺町・中京區（四条河原町・ヒューマンフォーラムビル 2F）,京都市中京区伊勢屋町 351 ヒューマンフォーラムビル 2F,35.00560,135.76650,11:30-20:00（LO 19:00）；週三公休,人氣純素定食（查無 Google）,"約 ¥1,300–2,000／人","https://www.google.com/maps/search/?api=1&query=35.00560,135.76650",2026-07-03
67,Veg Out,京都,純素 Vegan｜咖啡・早午餐,七條・下京區（鴨川沿・鴨川ビル 1F）,京都市下京区七条通加茂川筋西入ル稲荷町 448 鴨川ビル 1F,34.99230,135.76870,早餐 9:00-10:30 LO／午餐 11:30-15:00／咖啡 -18:00（LO 17:00）,"IG 8,200 追蹤（查無 Google）","約 ¥1,200–2,000／人","https://www.google.com/maps/search/?api=1&query=34.99230,135.76870",2026-07-03
68,Ain Soph. Journey Kyoto,京都,純素 Vegan｜咖啡・漢堡・甜點,河原町・中京區（新京極・獨立店面）,京都市中京区新京極通四条上ル中之町 538-6,35.00420,135.76740,約 11:30-20:00（晚間常不定休，建議看 IG/電話確認）,AIN SOPH 集團（查無 Google）,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=35.00420,135.76740",2026-07-03
69,VEGANS KYOTO,京都,純素 Vegan｜日式定食,祇園・東山區（Zizi Hotel 旁）,京都市東山区（祇園，完整地番建議 Google 定位）,35.00380,135.77500,週三-日假日 12:00-18:00（LO 17:30）；週一二公休,HotPepper 可預約（查無 Google）,"約 ¥1,200–2,000／人","https://www.google.com/maps/search/?api=1&query=35.00380,135.77500",2026-07-03
70,VOG Kyoto（Vegan Indian）,京都,純素 Vegan・無麩質｜印度料理,河原町・中京區（四条河原町徒步圈）,京都市中京区（四条河原町 downtown，建議 Google 定位）,35.00450,135.76800,週一-四 12:00-15:30 / 17:30-22:30；週六日 11:30-15:30 / 17:30-22:30；週一公休,Tripadvisor 2024-25（查無 Google）,"約 ¥1,500–2,500／人","https://www.google.com/maps/search/?api=1&query=35.00450,135.76800",2026-07-03
71,MERCY Vegan Factory 京都駅店,京都,純素 Vegan｜餐酒館・定食,京都車站・下京區（ホテルエリートイン京都駅 B1F）,京都市下京区東堀川通下魚棚下る鎌屋町 3 B1F,34.98720,135.75350,週一・三-日 8:30-17:00 / 18:00-22:00；週二公休,2024 開幕・IG 活躍,"約 ¥1,200–2,500／人","https://www.google.com/maps/search/?api=1&query=34.98720,135.75350",2026-07-03
72,Premarché Gelateria 三条本店,京都,義式冰淇淋｜含純素選項,三条・中京區（二条城近・獨立店面）,京都市中京区三条通猪熊西入 御供町 308,35.01130,135.74560,週一二四 12:00-18:00；週五六日 12:00-20:00；週三公休,Yelp 2026/5（查無 Google）,約 ¥500–900／人,"https://www.google.com/maps/search/?api=1&query=35.01130,135.74560",2026-07-03
